STT,Mã học phần,Tên học phần,Số tín chỉ (Credits)
5,CSC16005,"Xử lý ảnh số và video số (Digital Image and Video Processing)",4
6,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC14001,"Automata và ngôn ngữ hình thức (Automata and Formal Languages)",4
4,CSC14118,"Nhập môn dữ liệu lớn (Introduction to Big Data)",4
5,CSC14111,"Nhập môn thiết kế và phân tích giải thuật (Introduction to Algorithm Design and Analysis)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC14002,"Các hệ cơ sở tri thức (Knowledge-Based Systems)",4
5,CSC14120,"Lập trình song song (Parallel Programming)",4
6,CSC14112,"Sinh trắc học (Biometrics)",4
7,CSC14117,"Nhập môn lập trình kết nối vạn vật (Introduction to IoT Programming)",4
8,CSC17001,"Phân tích dữ liệu thông minh (Intelligent Data Analysis)",4
9,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC14114,"Ứng dụng dữ liệu lớn (Big Data Applications)",4
5,CSC14101,"Ẩn dữ liệu và chia sẻ thông tin (Data Hiding and Information Sharing)",4
6,CSC17103,"Khai thác dữ liệu đồ thị (Graph Data Mining)",4
7,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC14115,"Khoa học dữ liệu ứng dụng (Applied Data Science)",4
5,CSC14116,"Lập trình song song ứng dụng (Applied Parallel Programming)",4

# >>> CHUYÊN NGÀNH: Công nghệ tri thức (Knowledge Technology)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC15005,"Nhập môn mã hóa – mật mã (Introduction to Cryptography)",4
3,CSC15006,"Nhập môn xử lý ngôn ngữ tự nhiên (Introduction to Natural Language Processing)",4
4,CSC15109,"Nhập môn tính toán lượng tử (Introduction to Quantum Computing)",4
5,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC15002,"Bảo mật cơ sở dữ liệu (Database Security)",4
2,CSC15003,"Mã hóa ứng dụng (Applied Cryptography)",4
3,CSC15007,"Thống kê máy tính và ứng dụng (Computer Statistics and Applications)",4
4,CSC15012,"Ứng dụng xử lý ngôn ngữ tự nhiên trong doanh nghiệp (NLP Applications in Business)",4
5,CSC15108,"Pháp chứng cho dữ liệu số (Digital Forensics)",4
6,CSC15105,"Khai thác dữ liệu văn bản và ứng dụng (Text Mining and Applications)",4
7,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC15004,"Học thống kê (Statistical Learning)",4
4,CSC15001,"An ninh máy tính (Computer Security)",4
5,CSC16106,"Nhập môn lập trình điều khiển thiết bị thông minh (Introduction to Smart Device Control Programming)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC15104,"An toàn và phục hồi dữ liệu (Data Safety and Recovery)",4
5,CSC15106,"Seminar Công nghệ tri thức (Knowledge Technology Seminar)",4
6,CSC14120,"Lập trình song song (Parallel Programming)",4
7,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC15201,"Đồ án Mã hóa ứng dụng và an ninh thông tin (Project in Applied Cryptography and Information Security)",4
5,CSC15202,"Đồ án tốt nghiệp hướng ứng dụng xử lý ngôn ngữ tự nhiên (Graduation Project in Applied NLP)",4
6,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC15010,"Blockchain và ứng dụng (Blockchain and Applications)",4

# >>> CHUYÊN NGÀNH: Thị giác máy tính (Computer Vision)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC16005,"Xử lý ảnh số và video số (Digital Image and Video Processing)",4
3,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC16003,"Phân tích thống kê dữ liệu nhiều biến (Multivariate Statistical Data Analysis)",4
2,CSC16004,"Thị giác máy tính (Computer Vision)",4
3,CSC16101,"Đồ họa ứng dụng (Applied Computer Graphics)",4
4,CSC16109,"Ứng dụng xử lý ảnh số và video số (Digital Image and Video Processing Applications)",4
5,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC16105,"Truy vấn thông tin thị giác (Visual Information Retrieval)",4
4,CSC16106,"Nhập môn lập trình điều khiển thiết bị thông minh (Introduction to Smart Device Control Programming)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC16110,"Chuyên đề Đồ họa máy tính (Topics in Computer Graphics)",4
5,CSC16002,"Phương pháp toán trong phân tích dữ liệu thị giác (Mathematical Methods in Visual Data Analysis)",4
6,CSC16102,"Kỹ thuật lập trình xử lý ảnh số và video số (Programming Techniques for Digital Image and Video Processing)",4
7,CSC16114,"Học sâu trong thị giác máy tính (Deep Learning in Computer Vision)",4
8,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC16111,"Chuyên đề Thị giác máy tính (Topics in Computer Vision)",4
5,CSC16113,"Thị giác máy tính ba chiều (3D Computer Vision)",4
6,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC16112,"Chuyên đề Xử lý ảnh số và video số (Topics in Digital Image and Video Processing)",4

# >>> CHUYÊN NGÀNH: An toàn thông tin (Information Security)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC15005,"Nhập môn mã hóa – mật mã (Introduction to Cryptography)",4
3,CSC11004,"Mạng máy tính nâng cao (Advanced Computer Networks)",4
4,CSC14007,"Nhập môn phân tích độ phức tạp thuật toán (Introduction to Algorithm Complexity Analysis)",4
5,CSC15109,"Nhập môn tính toán lượng tử (Introduction to Quantum Computing)",4
6,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC15002,"Bảo mật cơ sở dữ liệu (Database Security)",4
2,CSC15003,"Mã hóa ứng dụng (Applied Cryptography)",4
3,CSC12001,"An toàn và bảo mật dữ liệu trong hệ thống thông tin (Data Security and Privacy in Information Systems)",4
4,CSC14005,"Nhập môn học máy (Introduction to Machine Learning)",4
5,CSC15004,"Học thống kê (Statistical Learning)",4
6,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC16106,"Nhập môn lập trình điều khiển thiết bị thông minh (Introduction to Smart Device Control Programming)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC15107,"Phân tích dữ liệu bảo toàn tính riêng tư (Privacy-Preserving Data Analysis)",4
5,CSC14120,"Lập trình song song (Parallel Programming)",4
6,CSC14117,"Nhập môn lập trình kết nối vạn vật (Introduction to IoT Programming)",4
7,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC15104,"An toàn và phục hồi dữ liệu (Data Safety and Recovery)",4
5,CSC15010,"Blockchain và ứng dụng (Blockchain and Applications)",4
6,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC15201,"Đồ án Mã hóa ứng dụng và an ninh thông tin (Project in Applied Cryptography and Information Security)",4

# >>> CHUYÊN NGÀNH: Khoa học dữ liệu (Data Science)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC14119,"Nhập môn khoa học dữ liệu (Introduction to Data Science)",4
3,CSC17104,"Lập trình cho khoa học dữ liệu (Programming for Data Science)",4
4,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC10108,"Trực quan hóa dữ liệu (Data Visualization)",4
2,CSC14005,"Nhập môn học máy (Introduction to Machine Learning)",4
3,CSC15007,"Thống kê máy tính và ứng dụng (Computer Statistics and Applications)",4
4,CSC14004,"Khai thác dữ liệu và ứng dụng (Data Mining and Applications)",4
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC14118,"Nhập môn dữ liệu lớn (Introduction to Big Data)",4
4,CSC17103,"Khai thác dữ liệu đồ thị (Graph Data Mining)",4
5,CSC15004,"Học thống kê (Statistical Learning)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC17001,"Phân tích dữ liệu thông minh (Intelligent Data Analysis)",4
5,CSC14117,"Nhập môn lập trình kết nối vạn vật (Introduction to IoT Programming)",4
6,CSC14120,"Lập trình song song (Parallel Programming)",4
7,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC17107,"Ứng dụng phân tích dữ liệu thông minh (Intelligent Data Analysis Applications)",4
5,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC14116,"Lập trình song song ứng dụng (Applied Parallel Programming)",4

# >>> CHUYÊN NGÀNH: Công nghệ thông tin (Information Technology)
# NOTE: CNTT track lists many cross-domain electives; semester grouping follows document order.
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC11004,"Mạng máy tính nâng cao (Advanced Computer Networks)",4
3,CSC12002,"Cơ sở dữ liệu nâng cao (Advanced Databases)",4
4,CSC13008,"Phát triển ứng dụng web (Web Application Development)",4
5,CSC14004,"Khai thác dữ liệu và ứng dụng (Data Mining and Applications)",4
6,CSC14005,"Nhập môn học máy (Introduction to Machine Learning)",4
7,CSC15005,"Nhập môn mã hóa – mật mã (Introduction to Cryptography)",4
8,CSC15006,"Nhập môn xử lý ngôn ngữ tự nhiên (Introduction to Natural Language Processing)",4
9,CSC14119,"Nhập môn khoa học dữ liệu (Introduction to Data Science)",4
10,CSC17104,"Lập trình cho khoa học dữ liệu (Programming for Data Science)",4
11,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC11006,"Nhập môn điện toán đám mây (Introduction to Cloud Computing)",4
2,CSC11007,"Nhập môn DevOps (Introduction to DevOps)",4
3,CSC12001,"An toàn và bảo mật dữ liệu trong hệ thống thông tin (Data Security and Privacy in Information Systems)",4
4,CSC12004,"Phân tích thiết kế hệ thống thông tin (Information Systems Analysis and Design)",4
